year,id,age,income,anual_hours,number_children,treatment
1980.0,14004.0,17.0,5752.46,400.0,1.0,0
1990.0,14004.0,27.0,26787.9,2002.0,2.0,0
1987.0,14004.0,24.0,17732.48,1116.0,1.0,0
1996.0,14004.0,33.0,47268.86,2880.0,2.0,0
1982.0,14004.0,19.0,9466.7,425.0,0.0,0
1992.0,14004.0,29.0,33102.5,2232.0,2.0,0
1978.0,14004.0,15.0,6025.2,133.0,1.0,0
1997.0,14173.0,36.0,48411.03,2475.0,2.0,0
1993.0,14173.0,32.0,42718.0,2780.0,1.0,0
1996.0,14173.0,35.0,38844.73,3084.0,2.0,0
1994.0,14173.0,33.0,40554.54,2230.0,1.0,0
1995.0,14173.0,34.0,52229.86,2664.0,2.0,0
1992.0,14173.0,31.0,40259.5,1720.0,0.0,0
1991.0,14173.0,30.0,18672.0,0.0,0.0,0
1984.0,16002.0,46.0,22411.8,3268.0,1.0,0
1982.0,16002.0,44.0,20210.5,0.0,1.0,0
1978.0,16002.0,40.0,15437.56,2080.0,3.0,0
1986.0,16002.0,48.0,20280.5,2040.0,0.0,0
1987.0,16002.0,49.0,18967.0,2040.0,0.0,0
1983.0,16002.0,45.0,29134.36,3060.0,1.0,0
1979.0,16002.0,41.0,17267.8,1880.0,2.0,0
1981.0,16002.0,43.0,4596.0,0.0,1.0,0
1994.0,16002.0,56.0,10481.91,1960.0,0.0,0
1985.0,16002.0,47.0,14588.0,2452.0,0.0,0
1995.0,16002.0,57.0,8658.1,1826.68,0.0,0
1980.0,16002.0,42.0,1227.0,0.0,1.0,0
1981.0,16170.0,24.0,11565.79,1928.0,1.0,0
